trn_id,emp_id,hr_salary,job_title,emp_name,date,time,coffee_type,purchase_qty,price,total_price,pay_method,customer_name
3c25e2a6,99854,12,Sr. Barista,Rebecca Edwards,2024-07-27,21:12:29,Mocha,3,2.0,6.0,Cash,Helen Downs
9e07f27c,82456,15,Sr. Barista,Diana Collins,2024-07-27,20:24:39,Latte,3,2.0,6.0,Card,Christopher Ortega
dddf41c0,22868,15,Jr. Barista,Evelyn Grant,2024-07-27,19:30:03,Espresso,1,1.0,1.0,Cash,Margaret Nelson
b1a791bf,98845,15,Jr. Barista,Kevin Swanson,2024-07-27,17:21:36,Latte,2,2.0,4.0,Cash,Annette Smith
2af6e956,98845,15,Jr. Barista,Kevin Swanson,2024-07-27,11:09:16,Latte,1,2.0,2.0,Card,Michael Bass
5ef38bcb,82456,15,Sr. Barista,Diana Collins,2024-07-27,09:29:50,Espresso,4,1.0,4.0,Cash,Janice Erickson
e0d07484,82456,15,Sr. Barista,Diana Collins,2024-07-27,02:03:00,Cappuccino,4,2.0,8.0,Card,Garrett Ramos
57971984,82456,15,Sr. Barista,Diana Collins,2024-07-26,20:39:52,Espresso,2,1.0,2.0,Card,Rita Harris
950d7414,82456,15,Sr. Barista,Diana Collins,2024-07-26,18:06:06,Mocha,2,2.0,4.0,Card,Faith Ashley
a4693a4e,98845,15,Jr. Barista,Kevin Swanson,2024-07-26,13:58:35,Latte,4,2.0,8.0,Cash,Lori Perez
197e3df1,99854,12,Sr. Barista,Rebecca Edwards,2024-07-26,13:29:11,Cappuccino,4,2.0,8.0,Card,Charles Dunlap
d7ef4166,22868,15,Jr. Barista,Evelyn Grant,2024-07-26,12:27:40,Latte,2,2.0,4.0,Card,Seth Cabrera
d7bda466,82456,15,Sr. Barista,Diana Collins,2024-07-26,06:08:58,Espresso,3,1.0,3.0,Card,Juan White
f1b02369,99854,12,Sr. Barista,Rebecca Edwards,2024-07-26,05:21:11,Cappuccino,4,2.0,8.0,Cash,Sandra Pennington
a58ae36c,99854,12,Sr. Barista,Rebecca Edwards,2024-07-26,03:49:05,Cappuccino,2,2.0,4.0,Card,Alfred Sims
a31fc4e9,99854,12,Sr. Barista,Rebecca Edwards,2024-07-26,03:00:29,Americano,4,1.25,5.0,Cash,Shannon Wood
7b78e18f,82456,15,Sr. Barista,Diana Collins,2024-07-26,01:25:02,Latte,4,2.0,8.0,Card,Michael Smith
070b9d9a,99854,12,Sr. Barista,Rebecca Edwards,2024-07-25,18:14:15,Latte,1,2.0,2.0,Card,Chad Williams
cd8147ad,82456,15,Sr. Barista,Diana Collins,2024-07-25,18:10:22,Mocha,3,2.0,6.0,Cash,Linda Bishop
374f4c8a,99854,12,Sr. Barista,Rebecca Edwards,2024-07-25,17:11:02,Latte,3,2.0,6.0,Card,Hailey Smith
33b258fa,22868,15,Jr. Barista,Evelyn Grant,2024-07-25,17:08:42,Americano,1,1.25,1.25,Cash,John Mcmillan
3399c3b2,98845,15,Jr. Barista,Kevin Swanson,2024-07-25,16:35:24,Mocha,1,2.0,2.0,Card,Nathan Hayes
d33a6bc9,82456,15,Sr. Barista,Diana Collins,2024-07-25,16:18:53,Cappuccino,4,2.0,8.0,Card,Mark Blake
5229df0f,82456,15,Sr. Barista,Diana Collins,2024-07-25,13:39:02,Latte,2,2.0,4.0,Cash,Jennifer Serrano
173b5a87,82456,15,Sr. Barista,Diana Collins,2024-07-25,11:01:02,Mocha,3,2.0,6.0,Cash,Luis Henderson
31972ffe,98845,15,Jr. Barista,Kevin Swanson,2024-07-25,08:17:00,Espresso,1,1.0,1.0,Cash,Maria Potts
a0e6e15f,99854,12,Sr. Barista,Rebecca Edwards,2024-07-25,08:09:18,Espresso,4,1.0,4.0,Card,Jeremiah Torres
6746222a,82456,15,Sr. Barista,Diana Collins,2024-07-25,06:21:59,Mocha,1,2.0,2.0,Card,Benjamin Maldonado
07769a5b,22868,15,Jr. Barista,Evelyn Grant,2024-07-25,04:28:20,Espresso,1,1.0,1.0,Card,Sara Sandoval
332fd77d,22868,15,Jr. Barista,Evelyn Grant,2024-07-24,23:10:49,Mocha,4,2.0,8.0,Cash,Dr. Kelly Moss
07d7221a,82456,15,Sr. Barista,Diana Collins,2024-07-24,21:02:37,Americano,1,1.25,1.25,Cash,Christine Villarreal
bff98c6c,99854,12,Sr. Barista,Rebecca Edwards,2024-07-24,20:03:26,Mocha,3,2.0,6.0,Card,Chad Brown
d22c75c6,82456,15,Sr. Barista,Diana Collins,2024-07-24,12:46:22,Americano,2,1.25,2.5,Card,Natalie Dominguez
4dfde1d2,82456,15,Sr. Barista,Diana Collins,2024-07-24,12:03:17,Mocha,1,2.0,2.0,Cash,Todd Pierce
3f6397dc,99854,12,Sr. Barista,Rebecca Edwards,2024-07-24,11:17:47,Americano,2,1.25,2.5,Cash,Jesse Nelson
5ec9c70b,22868,15,Jr. Barista,Evelyn Grant,2024-07-24,09:26:57,Cappuccino,1,2.0,2.0,Cash,Rita Harris
5fbc4045,82456,15,Sr. Barista,Diana Collins,2024-07-24,04:34:30,Cappuccino,1,2.0,2.0,Cash,Eric Moreno
9800e5ad,82456,15,Sr. Barista,Diana Collins,2024-07-24,02:23:48,Latte,4,2.0,8.0,Card,Mrs. Kristen Waters
df385edc,98845,15,Jr. Barista,Kevin Swanson,2024-07-24,00:49:56,Cappuccino,2,2.0,4.0,Cash,Rebecca Chen
e986db92,98845,15,Jr. Barista,Kevin Swanson,2024-07-23,21:11:37,Latte,4,2.0,8.0,Cash,Jeffrey Gomez
8078b0ba,82456,15,Sr. Barista,Diana Collins,2024-07-23,16:53:36,Espresso,3,1.0,3.0,Cash,Elizabeth Weaver
b31dbf9f,22868,15,Jr. Barista,Evelyn Grant,2024-07-23,12:26:27,Americano,2,1.25,2.5,Card,Lisa Chandler
0130fd92,82456,15,Sr. Barista,Diana Collins,2024-07-23,09:47:47,Espresso,4,1.0,4.0,Card,Jesse Meyers
052c6156,82456,15,Sr. Barista,Diana Collins,2024-07-23,09:14:45,Americano,4,1.25,5.0,Card,Steven Espinoza
8de5d0df,98845,15,Jr. Barista,Kevin Swanson,2024-07-23,08:50:24,Espresso,4,1.0,4.0,Card,John Mcmillan
f87df696,82456,15,Sr. Barista,Diana Collins,2024-07-23,07:45:01,Espresso,3,1.0,3.0,Cash,Juan White
111a909c,98845,15,Jr. Barista,Kevin Swanson,2024-07-23,06:42:02,Latte,2,2.0,4.0,Card,Janice Erickson
e6124b2a,22868,15,Jr. Barista,Evelyn Grant,2024-07-23,06:08:34,Espresso,1,1.0,1.0,Card,Marie Fuller
aeb6f264,82456,15,Sr. Barista,Diana Collins,2024-07-23,05:26:29,Latte,1,2.0,2.0,Cash,Maria Potts
d1b78744,82456,15,Sr. Barista,Diana Collins,2024-07-23,04:00:11,Latte,1,2.0,2.0,Card,Nancy Smith
de122001,99854,12,Sr. Barista,Rebecca Edwards,2024-07-23,03:51:16,Mocha,1,2.0,2.0,Cash,Thomas Perry
dbb49b14,99854,12,Sr. Barista,Rebecca Edwards,2024-07-23,03:26:37,Latte,4,2.0,8.0,Cash,Douglas Smith
275fff65,99854,12,Sr. Barista,Rebecca Edwards,2024-07-23,02:25:14,Cappuccino,2,2.0,4.0,Cash,Madison George
2b3525f9,22868,15,Jr. Barista,Evelyn Grant,2024-07-22,20:29:01,Espresso,1,1.0,1.0,Cash,Jesse Nelson
57afc45d,99854,12,Sr. Barista,Rebecca Edwards,2024-07-22,14:20:21,Cappuccino,1,2.0,2.0,Cash,David Archer
61983d49,22868,15,Jr. Barista,Evelyn Grant,2024-07-22,12:35:57,Espresso,1,1.0,1.0,Card,Faith Ashley
6afd1f9c,82456,15,Sr. Barista,Diana Collins,2024-07-22,12:08:35,Americano,2,1.25,2.5,Cash,Suzanne Chen
a3f40ef4,98845,15,Jr. Barista,Kevin Swanson,2024-07-22,09:47:23,Cappuccino,3,2.0,6.0,Card,Ana Summers
f511f650,98845,15,Jr. Barista,Kevin Swanson,2024-07-22,09:37:50,Cappuccino,3,2.0,6.0,Card,Benjamin Powell
804f4f1f,82456,15,Sr. Barista,Diana Collins,2024-07-22,07:30:24,Mocha,3,2.0,6.0,Cash,Luis Sanchez
f2574cea,98845,15,Jr. Barista,Kevin Swanson,2024-07-22,06:17:29,Latte,3,2.0,6.0,Cash,Elizabeth Weaver
2bd7de47,82456,15,Sr. Barista,Diana Collins,2024-07-22,05:18:03,Espresso,1,1.0,1.0,Card,Phillip Reese
5a69481a,98845,15,Jr. Barista,Kevin Swanson,2024-07-22,03:30:53,Cappuccino,3,2.0,6.0,Card,Duane Good
5ad579b3,82456,15,Sr. Barista,Diana Collins,2024-07-22,02:09:55,Cappuccino,3,2.0,6.0,Cash,Zachary Moore
683bbe44,82456,15,Sr. Barista,Diana Collins,2024-07-22,01:57:52,Mocha,4,2.0,8.0,Cash,Drew Prince
6a8cd5af,98845,15,Jr. Barista,Kevin Swanson,2024-07-21,23:53:30,Cappuccino,2,2.0,4.0,Card,David Archer
7140ac6d,98845,15,Jr. Barista,Kevin Swanson,2024-07-21,23:10:49,Cappuccino,2,2.0,4.0,Card,Sandra Pennington
96edadc6,82456,15,Sr. Barista,Diana Collins,2024-07-21,19:47:28,Mocha,4,2.0,8.0,Cash,Christopher Ortega
93d35c13,98845,15,Jr. Barista,Kevin Swanson,2024-07-21,18:45:20,Latte,1,2.0,2.0,Cash,Mary Martin
a6cc652d,98845,15,Jr. Barista,Kevin Swanson,2024-07-21,17:41:43,Latte,3,2.0,6.0,Cash,Zachary Ferrell
34d484c6,82456,15,Sr. Barista,Diana Collins,2024-07-21,16:20:49,Mocha,2,2.0,4.0,Card,Micheal Green
d17ce5bc,99854,12,Sr. Barista,Rebecca Edwards,2024-07-21,14:36:54,Latte,1,2.0,2.0,Cash,John Simon
af04ef0c,82456,15,Sr. Barista,Diana Collins,2024-07-21,14:22:40,Cappuccino,4,2.0,8.0,Cash,Duane Good
6477534f,99854,12,Sr. Barista,Rebecca Edwards,2024-07-21,14:02:49,Mocha,2,2.0,4.0,Cash,Olivia Evans
791f924d,99854,12,Sr. Barista,Rebecca Edwards,2024-07-21,08:03:44,Cappuccino,1,2.0,2.0,Card,Jennifer Tucker
7385b7db,99854,12,Sr. Barista,Rebecca Edwards,2024-07-21,04:30:40,Americano,4,1.25,5.0,Cash,Bryan Summers
8792be6e,22868,15,Jr. Barista,Evelyn Grant,2024-07-21,01:53:56,Latte,2,2.0,4.0,Cash,Kimberly Watson
241f19ca,99854,12,Sr. Barista,Rebecca Edwards,2024-07-21,01:06:33,Latte,3,2.0,6.0,Card,Kenneth Oliver
e4f30723,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,22:56:26,Latte,1,2.0,2.0,Cash,Thomas Perry
117244d4,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,20:09:37,Americano,1,1.25,1.25,Card,Mary Martin
ad32b5f3,82456,15,Sr. Barista,Diana Collins,2024-07-20,20:02:21,Americano,1,1.25,1.25,Card,Carrie Johnson
491fb935,82456,15,Sr. Barista,Diana Collins,2024-07-20,19:29:25,Latte,1,2.0,2.0,Card,Madison George
7cc9b211,82456,15,Sr. Barista,Diana Collins,2024-07-20,19:05:05,Americano,1,1.25,1.25,Card,Glenda Lee
65f50009,82456,15,Sr. Barista,Diana Collins,2024-07-20,17:20:44,Americano,1,1.25,1.25,Card,Carlos Black
36f2f608,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,16:35:25,Cappuccino,2,2.0,4.0,Card,Shane Ibarra
c97b7112,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,16:22:06,Mocha,2,2.0,4.0,Card,Thomas Perry
a22e1061,98845,15,Jr. Barista,Kevin Swanson,2024-07-20,16:01:56,Espresso,4,1.0,4.0,Card,Drew Prince
3a4abf26,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,15:24:21,Cappuccino,1,2.0,2.0,Cash,Brandon Ward
1f11b4f4,98845,15,Jr. Barista,Kevin Swanson,2024-07-20,12:23:11,Espresso,2,1.0,2.0,Cash,Michael Bass
187f137c,22868,15,Jr. Barista,Evelyn Grant,2024-07-20,11:59:09,Americano,3,1.25,3.75,Card,Jeffrey Porter
2351ebaa,99854,12,Sr. Barista,Rebecca Edwards,2024-07-20,05:01:02,Mocha,3,2.0,6.0,Card,Hailey Smith
71e6604b,98845,15,Jr. Barista,Kevin Swanson,2024-07-19,19:25:09,Mocha,1,2.0,2.0,Cash,Benjamin Maldonado
4b5afd8d,82456,15,Sr. Barista,Diana Collins,2024-07-19,18:16:53,Cappuccino,2,2.0,4.0,Cash,Garrett Ramos
e3cdc58f,99854,12,Sr. Barista,Rebecca Edwards,2024-07-19,12:12:47,Espresso,2,1.0,2.0,Card,Tamara Alexander
ec8ddb93,82456,15,Sr. Barista,Diana Collins,2024-07-19,11:23:49,Cappuccino,2,2.0,4.0,Cash,Jacqueline Grimes
b6ab7a72,99854,12,Sr. Barista,Rebecca Edwards,2024-07-19,10:00:33,Latte,4,2.0,8.0,Card,Zachary Ferrell
bf21bf3d,82456,15,Sr. Barista,Diana Collins,2024-07-19,07:27:33,Mocha,1,2.0,2.0,Cash,Hailey Smith
6de085f0,22868,15,Jr. Barista,Evelyn Grant,2024-07-19,03:41:02,Cappuccino,3,2.0,6.0,Cash,Virginia Hanna
7e2c20f3,82456,15,Sr. Barista,Diana Collins,2024-07-19,03:04:50,Latte,2,2.0,4.0,Cash,Richard Howard
aa417551,98845,15,Jr. Barista,Kevin Swanson,2024-07-19,01:18:53,Latte,2,2.0,4.0,Card,Michael Patel
d04ecf52,82456,15,Sr. Barista,Diana Collins,2024-07-18,23:55:50,Latte,2,2.0,4.0,Card,Zachary Moore
9aa30eee,98845,15,Jr. Barista,Kevin Swanson,2024-07-18,23:44:05,Americano,1,1.25,1.25,Card,Mrs. Kristen Waters
8ba69426,82456,15,Sr. Barista,Diana Collins,2024-07-18,21:09:52,Americano,4,1.25,5.0,Card,Laura Lewis
f5ef1a40,99854,12,Sr. Barista,Rebecca Edwards,2024-07-18,21:05:35,Espresso,2,1.0,2.0,Cash,Anthony Velasquez
4731c00f,82456,15,Sr. Barista,Diana Collins,2024-07-18,20:43:59,Cappuccino,3,2.0,6.0,Cash,Haley Davis
a551a3d8,98845,15,Jr. Barista,Kevin Swanson,2024-07-18,19:20:49,Americano,2,1.25,2.5,Card,Faith Ashley
3f66617c,82456,15,Sr. Barista,Diana Collins,2024-07-18,18:02:57,Cappuccino,2,2.0,4.0,Cash,Carlos Black
de129224,22868,15,Jr. Barista,Evelyn Grant,2024-07-18,17:10:57,Latte,1,2.0,2.0,Card,Garrett Ramos
51adc4a4,98845,15,Jr. Barista,Kevin Swanson,2024-07-18,13:59:06,Mocha,1,2.0,2.0,Cash,Tonya Lee
504e4f7b,82456,15,Sr. Barista,Diana Collins,2024-07-18,09:02:19,Mocha,4,2.0,8.0,Cash,Melissa Berry
ee9ff0d0,22868,15,Jr. Barista,Evelyn Grant,2024-07-18,04:15:57,Latte,1,2.0,2.0,Cash,Heather Walsh
ddb4ec49,99854,12,Sr. Barista,Rebecca Edwards,2024-07-17,19:55:57,Cappuccino,3,2.0,6.0,Cash,James Jimenez MD
99341c58,22868,15,Jr. Barista,Evelyn Grant,2024-07-17,18:52:09,Mocha,2,2.0,4.0,Card,Nancy Smith
eacaed7c,98845,15,Jr. Barista,Kevin Swanson,2024-07-17,18:29:27,Espresso,3,1.0,3.0,Cash,Mary Melton
c8857b84,99854,12,Sr. Barista,Rebecca Edwards,2024-07-17,17:15:29,Latte,2,2.0,4.0,Cash,Faith Ashley
54479ee6,82456,15,Sr. Barista,Diana Collins,2024-07-17,16:00:03,Americano,2,1.25,2.5,Cash,Alfred Sims
6da96c23,99854,12,Sr. Barista,Rebecca Edwards,2024-07-17,13:06:56,Espresso,1,1.0,1.0,Cash,Natalie Dominguez
4f7259e8,98845,15,Jr. Barista,Kevin Swanson,2024-07-17,11:10:38,Espresso,1,1.0,1.0,Cash,Suzanne Chen
a35d76be,82456,15,Sr. Barista,Diana Collins,2024-07-17,10:32:40,Espresso,1,1.0,1.0,Card,James Meyer
708a72fa,98845,15,Jr. Barista,Kevin Swanson,2024-07-17,09:21:24,Espresso,4,1.0,4.0,Cash,Robert Lopez
65f52bc4,82456,15,Sr. Barista,Diana Collins,2024-07-17,06:32:07,Espresso,3,1.0,3.0,Card,Jennifer Poole
520fe38c,82456,15,Sr. Barista,Diana Collins,2024-07-17,05:12:43,Americano,3,1.25,3.75,Cash,Anthony Ortega
ad4d7e91,99854,12,Sr. Barista,Rebecca Edwards,2024-07-17,04:24:50,Cappuccino,2,2.0,4.0,Cash,Elizabeth Perez
fe7f4d64,22868,15,Jr. Barista,Evelyn Grant,2024-07-17,03:05:24,Espresso,1,1.0,1.0,Cash,Drew Prince
85f3d340,99854,12,Sr. Barista,Rebecca Edwards,2024-07-17,03:01:28,Americano,2,1.25,2.5,Cash,Phillip Reese
b783ce08,99854,12,Sr. Barista,Rebecca Edwards,2024-07-16,22:51:28,Mocha,4,2.0,8.0,Card,Kristy Wolf
a2ee0100,99854,12,Sr. Barista,Rebecca Edwards,2024-07-16,21:03:22,Latte,4,2.0,8.0,Card,Thomas Williams
10c8829a,82456,15,Sr. Barista,Diana Collins,2024-07-16,19:32:15,Mocha,2,2.0,4.0,Card,Joe Aguirre
8e2ca8f4,98845,15,Jr. Barista,Kevin Swanson,2024-07-16,16:26:00,Mocha,1,2.0,2.0,Cash,Gerald Galloway
ca1d0beb,82456,15,Sr. Barista,Diana Collins,2024-07-16,15:40:55,Mocha,1,2.0,2.0,Card,Zachary Ferrell
5b0af00d,98845,15,Jr. Barista,Kevin Swanson,2024-07-16,14:50:10,Cappuccino,3,2.0,6.0,Cash,Anthony Ortega
57b54f18,22868,15,Jr. Barista,Evelyn Grant,2024-07-16,14:30:57,Latte,3,2.0,6.0,Card,Jacqueline Grimes
015c17e3,99854,12,Sr. Barista,Rebecca Edwards,2024-07-16,12:44:14,Mocha,1,2.0,2.0,Card,Jacqueline Grimes
660fe000,99854,12,Sr. Barista,Rebecca Edwards,2024-07-16,08:01:02,Americano,2,1.25,2.5,Card,Nicole Heath
456b0e33,82456,15,Sr. Barista,Diana Collins,2024-07-16,07:05:53,Americano,1,1.25,1.25,Card,Patricia Coleman
2640d56e,82456,15,Sr. Barista,Diana Collins,2024-07-16,06:58:24,Cappuccino,3,2.0,6.0,Card,Rhonda Taylor
52b72806,22868,15,Jr. Barista,Evelyn Grant,2024-07-16,02:50:28,Espresso,2,1.0,2.0,Cash,Amy Wilkinson
0da53e7a,22868,15,Jr. Barista,Evelyn Grant,2024-07-16,01:40:25,Americano,3,1.25,3.75,Card,Laura Lewis
2b556779,82456,15,Sr. Barista,Diana Collins,2024-07-16,00:55:46,Mocha,2,2.0,4.0,Card,Michael Garcia
ab5c55cd,22868,15,Jr. Barista,Evelyn Grant,2024-07-15,23:50:47,Americano,4,1.25,5.0,Cash,Justin Hudson
2c7b7174,82456,15,Sr. Barista,Diana Collins,2024-07-15,23:43:03,Cappuccino,4,2.0,8.0,Card,Chad Brown
9bcb808d,98845,15,Jr. Barista,Kevin Swanson,2024-07-15,19:24:44,Espresso,2,1.0,2.0,Card,Douglas Orr
c1ae12b0,82456,15,Sr. Barista,Diana Collins,2024-07-15,16:44:53,Latte,4,2.0,8.0,Card,Diane Robles
aef28d4c,99854,12,Sr. Barista,Rebecca Edwards,2024-07-15,14:55:51,Cappuccino,2,2.0,4.0,Cash,Joseph Robinson
9b6cf64c,98845,15,Jr. Barista,Kevin Swanson,2024-07-15,14:54:22,Americano,2,1.25,2.5,Card,Cory Franklin
39472b22,82456,15,Sr. Barista,Diana Collins,2024-07-15,12:14:22,Americano,3,1.25,3.75,Cash,Diane Robles
45512721,98845,15,Jr. Barista,Kevin Swanson,2024-07-15,11:53:21,Cappuccino,4,2.0,8.0,Card,Matthew Gonzalez
a6e66ed2,82456,15,Sr. Barista,Diana Collins,2024-07-15,10:45:10,Espresso,4,1.0,4.0,Cash,Dr. Kelly Moss
